image_path,tag,ansible_core_version,python_version,rhel_version
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.11,2.15.11,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.11-2,2.15.11,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.12,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.12-17,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.12-4,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.12-8,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-10,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-11,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-16,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-19,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-22,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-25,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.13-4,2.15.13,3.9.19,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.3,2.15.3,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.3-4,2.15.3,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.4,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.4-3,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.4-6,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.5,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.5-1,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.5-4,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.6,2.15.6,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.6-1,2.15.6,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.8,2.15.8,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.8-2,2.15.8,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.9,2.15.9,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.9-3,2.15.9,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16,2.16.14,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.10,2.16.10,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.10-1,2.16.10,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.11,2.16.11,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.11-4,2.16.11,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.12,2.16.12,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.12-3,2.16.12,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.13,2.16.13,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.13-2,2.16.13,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14,2.16.14,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-12,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-14,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-18,2.16.14,3.11.9,9.5 (Plow)
